Id,SalePrice
165,152000
590,79500
874,133000
1271,260000
1333,100000
534,39300
1050,84900
1124,118000
108,115000
312,132000
608,225000
1015,119200
1309,147000
1397,160000
554,108000
917,35311
1322,72500
91,109900
157,109500
176,243000
300,158500
342,82000
486,147000
647,98300
836,128000
951,129000
1151,124000
1250,119000
1459,142125
27,134800
278,141000
511,164900
772,102000
1141,139000
1224,137900
698,123500
813,55993
1001,82000
39,109000
114,217000
295,167000
374,123000
648,155000
798,110000
822,93000
873,116000
890,149500
1114,134500
38,153000
74,144900
248,140000
272,241500
369,132000
423,113000
458,256000
634,139400
789,107900
805,118000
817,137000
894,165000
906,128000
979,110000
1115,117000
1162,224000
1180,93000
1315,119000
1320,111000
167,190000
324,126175
533,107500
549,125000
855,170000
968,135000
1046,139600
1126,115000
1295,115000
77,135750
260,97000
396,129000
425,139000
446,127500
527,132000
669,168000
918,135000
1071,135000
1095,129000
1123,112000
1153,230000
1262,128900
29,207500
183,120000
216,134450
255,145000
428,109008
522,150000
530,200624
552,112500
557,141000
561,121500
674,257500
831,166000
902,153000
1036,84000
1041,155000
1054,144500
1113,129900
1321,156500
1439,149700
20,139000
123,136000
130,150000
274,139000
332,139000
340,155000
411,60000
500,120000
513,129900
774,114500
814,157900
920,176500
945,137500
961,116500
1172,163000
1425,144000
34,165500
42,170000
45,141000
100,128950
133,150750
231,148000
370,162000
393,106500
504,289000
510,124500
572,120000
657,145500
761,127500
864,132500
1104,159500
1120,133700
1144,80000
1152,149900
1234,142000
1300,154000
1311,335000
1426,142000
15,157000
84,126500
154,235000
172,215000
208,141000
328,145250
347,151500
348,157500
494,155000
581,181900
627,139900
935,242000
1027,167500
1049,115000
1103,135000
92,98600
174,163000
610,118500
680,128500
734,131400
742,142000
835,139950
868,129000
900,135000
997,136500
13,144000
117,139000
207,143900
485,132500
626,160000
856,127000
871,109500
958,132000
1209,140000
1436,174000
1447,157900
367,159000
476,132500
877,132250
893,154500
980,139000
1082,133000
1185,186700
1200,148000
1287,143000
1297,155000
1419,124000
56,180500
210,145000
660,167000
834,167000
1084,160000
1221,115000
1288,190000
11,129500
41,160000
98,94750
314,375000
463,62383
487,156000
503,140000
675,140000
699,138500
932,117500
952,119900
1094,146000
1228,147000
1273,137000
1460,147500
32,149350
50,127000
447,190000
710,109900
1065,154000
1207,107000
1216,125000
1357,110000
137,143000
229,125000
289,122000
499,130000
786,161500
885,100000
905,125500
1118,130000
25,154000
135,180000
420,142000
539,158000
589,143000
663,110000
735,108000
1163,129000
1222,134000
1251,244000
1253,130000
1272,185750
1296,138500
1347,262500
702,140000
720,128500
755,156000
1078,138800
1260,151000
1420,223000
17,149000
67,180000
136,174000
467,167000
723,124500
726,120500
866,148500
889,268000
998,185000
1007,163500
1201,116050
1382,237500
141,115000
224,97000
288,88000
488,175000
646,143250
707,302000
901,110000
1081,145000
1102,119500
1341,123000
1358,149900
1437,120500
60,124900
195,127000
304,149900
397,123000
538,111250
848,133500
950,197500
1026,112500
1340,128500
71,244000
456,175500
718,157000
562,170000
716,165000
778,142500
811,181000
44,130250
151,122000
452,280000
595,110000
1205,153500
2,181500
234,128200
270,148000
406,150000
859,152000
1025,287000
1056,180000
1156,218000
101,205000
110,190000
202,171500
422,215000
599,217500
623,135000
633,82500
673,165000
797,143500
912,143500
926,175000
1139,196000
1283,150500
1336,167900
1435,160000
465,124000
880,136500
1100,157000
1457,210000
125,181000
925,207500
54,385000
170,228000
266,175500
1045,278000
1430,182900
72,129500
275,124500
593,138000
1328,130500
514,134000
909,131000
161,162500
339,202500
863,152000
1177,119500
1147,180000
1408,112000
175,184000
696,176000
246,241500
430,175000
727,222000
206,180500
1107,179900
1206,271900
1282,180000
1132,93500
1310,179200
357,173000
497,430000
37,145000
90,123600
668,193500
1048,145000
1080,126000
1188,262000
1257,301500
1308,138000
214,156000
356,177500
655,350000
781,176000
839,144000
607,152000
749,260400
1017,203000
477,208900
753,217000
543,213250
816,224900
1349,215000
97,214000
144,204000
193,192000
389,191000
743,179000
1204,213000
1391,235000
134,220000
303,205000
540,272000
783,187100
828,189000
929,236500
1199,178000
1319,275000
1374,466500
23,230000
338,214000
605,221000
684,285000
701,312500
818,271000
948,270000
1034,230000
1083,192000
1281,227000
68,226000
201,140000
225,386250
277,201000
310,360000
333,284000
482,374000
937,184900
959,185000
1208,200000
1342,155000
1370,232000
7,307000
19,159000
61,158000
149,141000
200,274900
217,210000
237,185500
306,305900
481,326000
568,214000
705,213000
769,216837
934,190000
1009,240000
1110,280000
1128,259000
1360,315000
1445,179600
1455,185000
142,260000
163,220000
337,377426
402,164990
526,176000
586,369900
596,319000
665,423000
777,221500
881,157000
923,169990
1021,176000
1122,212900
1239,142500
1304,232000
1312,203000
1362,260000
1414,257000
14,279500
48,249700
118,155000
221,204900
258,220000
279,415298
282,185000
382,187750
469,250000
474,440000
541,315000
553,255500
775,395000
825,232600
867,248900
904,240000
907,255000
933,320000
995,337500
1000,206000
1003,232000
1022,194000
1075,194000
1096,176432
1210,290000
1240,265900
1244,465000
1306,325000
1325,147000
1331,227000
1348,283463
1389,377500
1403,193879
1454,84500
26,256300
28,306000
33,179900
83,245000
152,372402
197,311872
239,318000
416,181134
429,195400
479,297000
614,147000
619,314813
689,392000
725,320000
728,194500
794,225000
826,385000
865,250580
931,201000
964,239000
974,182000
983,159895
1028,293077
1037,315500
1051,176485
1052,200141
1116,318000
1159,235128
1242,248328
1376,239000
1404,282922
179,501837
241,262500
284,244600
441,555000
582,253293
679,372500
766,264132
806,227680
1167,245350
1268,378500
1317,295493
1438,394617
1452,287090
104,198900
212,186000
413,222000
508,208300
516,402861
645,370878
899,611657
988,395192
1166,233170
1218,229456
379,394432
107,100000
639,85000
1014,85000
439,90350
621,67000
1381,58500
802,109900
1444,121000
587,130000
1384,112000
99,83000
399,67000
496,34900
529,86000
1002,86000
1101,60000
1121,118400
1140,144000
1184,120000
1346,108500
93,163500
694,108480
697,89000
376,61000
670,137500
999,91000
1258,99900
1326,55000
155,125000
180,100000
977,85500
678,109500
762,100000
211,98000
265,73000
730,103000
913,88000
1064,110500
936,79900
1136,102000
30,68500
